customer_name,industry,tier,contact_email,asset_type,asset_value,criticality
Uber,transportation,enterprise,security@uber.com,subdomain,partners.uber.com,high
Uber,transportation,enterprise,security@uber.com,subdomain,eats.uber.com,high
Uber,transportation,enterprise,security@uber.com,subdomain,freight.uber.com,medium
Uber,transportation,enterprise,security@uber.com,subdomain,login.uber.com,critical
Uber,transportation,enterprise,security@uber.com,email_domain,uber.com,critical
Uber,transportation,enterprise,security@uber.com,keyword,uber,critical
Uber,transportation,enterprise,security@uber.com,brand_name,Uber,critical
Uber,transportation,enterprise,security@uber.com,brand_name,Uber Eats,high
Uber,transportation,enterprise,security@uber.com,brand_name,Uber Freight,medium
Uber,transportation,enterprise,security@uber.com,org_name,Uber Technologies Inc,high
Starbucks,retail,premium,security@starbucks.com,domain,starbucks.com,critical
Starbucks,retail,premium,security@starbucks.com,subdomain,app.starbucks.com,critical
Starbucks,retail,premium,security@starbucks.com,subdomain,www.starbucks.com,high
Starbucks,retail,premium,security@starbucks.com,subdomain,rewards.starbucks.com,critical
Starbucks,retail,premium,security@starbucks.com,subdomain,store.starbucks.com,high
Starbucks,retail,premium,security@starbucks.com,subdomain,openapi.starbucks.com,high
Starbucks,retail,premium,security@starbucks.com,subdomain,card.starbucks.com,critical
Starbucks,retail,premium,security@starbucks.com,subdomain,preview.starbucks.com,medium
Starbucks,retail,premium,security@starbucks.com,subdomain,content.starbucks.com,medium
Starbucks,retail,premium,security@starbucks.com,email_domain,starbucks.com,critical
Starbucks,retail,premium,security@starbucks.com,keyword,starbucks,critical
Starbucks,retail,premium,security@starbucks.com,brand_name,Starbucks,critical
Starbucks,retail,premium,security@starbucks.com,brand_name,Starbucks Rewards,high
Starbucks,retail,premium,security@starbucks.com,org_name,Starbucks Corporation,high
GitHub,technology,enterprise,security@github.com,domain,github.com,critical
GitHub,technology,enterprise,security@github.com,subdomain,api.github.com,critical
GitHub,technology,enterprise,security@github.com,subdomain,gist.github.com,high
GitHub,technology,enterprise,security@github.com,subdomain,raw.githubusercontent.com,critical
GitHub,technology,enterprise,security@github.com,subdomain,pages.github.com,high
GitHub,technology,enterprise,security@github.com,subdomain,education.github.com,medium
GitHub,technology,enterprise,security@github.com,subdomain,enterprise.github.com,critical
GitHub,technology,enterprise,security@github.com,subdomain,copilot.github.com,high
GitHub,technology,enterprise,security@github.com,subdomain,actions.github.com,critical
GitHub,technology,enterprise,security@github.com,subdomain,security.github.com,high
GitHub,technology,enterprise,security@github.com,email_domain,github.com,critical
GitHub,technology,enterprise,security@github.com,keyword,github,critical
GitHub,technology,enterprise,security@github.com,brand_name,GitHub,critical
GitHub,technology,enterprise,security@github.com,brand_name,GitHub Copilot,high
GitHub,technology,enterprise,security@github.com,brand_name,GitHub Actions,high
GitHub,technology,enterprise,security@github.com,org_name,GitHub Inc,high
GitHub,technology,enterprise,security@github.com,github_org,github,critical
